date,faboo,daddy
30-Mar-21,0,0
31-Mar-21,0,0
01-Apr-21,0,0
02-Apr-21,0,0
03-Apr-21,0,0
04-Apr-21,0,0
05-Apr-21,0,0
06-Apr-21,0,0
07-Apr-21,0,0
08-Apr-21,0,0
09-Apr-21,0,0
10-Apr-21,0,0
11-Apr-21,0,0
12-Apr-21,0,0
13-Apr-21,0,0
14-Apr-21,0,0
15-Apr-21,0,0
16-Apr-21,0,0
17-Apr-21,0,0
18-Apr-21,0,0
19-Apr-21,0,0
20-Apr-21,0,0
21-Apr-21,0,0
22-Apr-21,0,0
23-Apr-21,0,0
24-Apr-21,0,0
25-Apr-21,0,0
27-Apr-21,0,0
29-Apr-21,0,0
30-Apr-21,0,0
01-May-21,0,0
02-May-21,0,0
03-May-21,0,0
04-May-21,0,0
05-May-21,0,0
06-May-21,0,0
07-May-21,0,0
08-May-21,0,0
09-May-21,0,0
10-May-21,0,0
11-May-21,0,0
12-May-21,0,0
13-May-21,0,0
14-May-21,0,0
15-May-21,0,0
16-May-21,0,0
17-May-21,0,0
18-May-21,0,0
19-May-21,0,0
20-May-21,0,0
21-May-21,0,0
22-May-21,0,0
23-May-21,0,0
24-May-21,0,0
